160 3200
-5 101 110 
102 51 151 
-34 108 98 
130 -84 -14 
-49 145 60 
110 -23 -30 
60 -10 -124 
-159 78 36 
-42 -124 -127 
-47 18 126 
-68 -158 31 
41 138 134 
155 -137 83 
91 146 41 
-141 93 78 
-49 31 151 
131 122 -97 
125 -159 -128 
110 102 -80 
-87 -123 126 
38 -68 -70 
-42 145 20 
-11 113 -132 
100 -159 131 
-73 -133 -88 
41 36 60 
-39 -33 6 
50 64 -54 
-107 -103 -135 
43 -119 113 
-7 110 110 
18 -82 125 
-33 -34 -86 
48 -141 -17 
-129 -132 -77 
6 45 27 
66 60 138 
125 111 -40 
-84 -106 67 
117 -142 -105 
-103 -109 -40 
-121 6 -123 
-135 -53 12 
-54 9 38 
-114 -79 131 
-123 -86 50 
46 -58 -114 
-84 2 -10 
12 101 -53 
-70 -42 3 
110 -129 -11 
125 76 -11 
-147 64 -158 
65 131 26 
18 19 -33 
-129 -81 -61 
-44 50 -39 
102 48 157 
-44 3 -72 
126 93 18 
-148 -68 -158 
157 93 67 
-34 66 151 
51 -142 -152 
-54 60 -49 
-106 111 -52 
-17 -116 67 
89 -68 90 
83 156 -139 
-54 126 151 
-147 -81 -132 
57 90 -74 
157 -34 -1 
-132 3 125 
-80 -16 -95 
-70 153 64 
-132 144 -72 
-142 153 -11 
-121 130 113 
93 -80 -72 
-8 102 -148 
48 -16 -17 
78 -79 -109 
-114 51 -152 
-74 18 83 
-74 -1 115 
-119 -106 -77 
144 -119 -141 
65 60 -109 
149 -42 -116 
50 78 -17 
-70 -136 19 
-72 29 66 
155 -136 -73 
-105 60 -119 
-123 2 -73 
50 83 138 
-80 -159 101 
-69 160 29 
110 51 -28 
89 90 -49 
41 -70 12 
78 93 -95 
-87 50 41 
-87 -133 -34 
-107 43 13 
43 157 -61 
143 -34 -81 
64 -140 62 
156 -104 -28 
55 -99 -63 
-140 -42 22 
134 56 50 
-69 -53 126 
-127 -7 101 
-54 110 15 
-70 -33 -109 
-88 -158 -68 
157 -49 -124 
-114 -116 51 
-75 143 -159 
-87 157 151 
134 -123 60 
-58 91 -116 
-79 -63 -139 
3 -139 -11 
-109 -39 -59 
-8 60 -159 
18 112 3 
-127 3 156 
-70 130 18 
-82 -34 156 
-127 -141 -88 
-30 -105 -23 
43 108 62 
-147 32 -42 
117 -42 64 
155 36 -84 
-82 60 -114 
-86 -152 117 
-63 67 -124 
55 -63 -70 
62 -16 -141 
-88 -68 115 
98 -1 -8 
15 60 -54 
100 -147 -154 
-88 50 89 
46 -69 -135 
157 20 -118 
36 -40 50 
-133 -63 18 
-58 151 108 
26 -70 -69 
-85 -154 -63 
-10 56 65 
-44 -58 -128 
157 -84 -119 
56 41 108 
-140 2 153 
-158 143 -73 
-63 -97 -133 
-116 19 -5 
-53 125 -42 
149 90 51 
64 65 113 
-158 146 149 
101 -86 -68 
-139 -103 -152 
19 -39 93 
-73 -28 -107 
-34 48 -37 
-39 -129 -30 
-61 -74 43 
55 31 -114 
111 -47 71 
-147 -49 153 
-140 92 -8 
66 31 138 
64 46 -85 
131 93 -69 
2 -39 -40 
-132 9 -86 
93 35 -132 
-84 60 -97 
-8 83 160 
-11 -23 108 
157 -141 -109 
67 48 -106 
-140 145 3 
76 144 -140 
78 -127 -142 
66 -52 50 
122 -75 -119 
21 18 50 
45 -114 9 
112 -24 -63 
-69 134 -75 
-33 -40 -24 
-23 -82 -147 
153 32 146 
-139 41 -97 
-141 -44 -154 
108 110 31 
-8 51 13 
151 21 19 
-8 -109 -53 
-33 125 -133 
-154 98 101 
-133 -105 -16 
-140 -133 -120 
-53 91 -16 
-105 -24 48 
-133 43 4 
146 51 64 
117 -63 -141 
-79 -133 3 
93 102 101 
56 18 -85 
76 29 117 
-103 76 41 
-24 13 76 
-69 41 45 
-47 -137 71 
-116 66 -120 
-24 102 -118 
20 20 -137 
-53 -119 65 
-147 -86 -123 
-80 29 -68 
101 55 -137 
-10 -114 12 
-16 -34 -86 
101 -33 -106 
26 108 -99 
108 -148 19 
150 -128 115 
-69 -30 101 
-47 -11 -132 
32 -68 -133 
143 90 -70 
-114 150 -7 
-14 -24 -152 
51 -23 26 
-159 -104 138 
-142 51 -79 
130 29 -77 
-97 -96 -68 
156 -133 35 
-85 67 67 
-103 -28 94 
46 -152 -84 
-53 -72 -129 
-79 83 -40 
-124 -11 -129 
-79 -25 -97 
62 143 160 
-11 4 160 
32 138 -69 
-49 -109 -30 
65 -1 94 
-44 -37 -16 
98 35 -136 
-73 60 100 
130 -109 113 
-16 -68 -17 
151 153 4 
-80 125 -127 
19 -84 -106 
112 65 -96 
18 -107 -75 
-79 91 15 
-88 138 91 
91 98 -30 
-104 117 71 
138 -24 3 
-5 15 -17 
20 -128 -49 
-116 -120 113 
-24 112 -116 
-85 45 -11 
-1 125 -95 
-79 9 -88 
46 -79 60 
-58 -147 -136 
-136 -159 29 
2 -54 41 
156 36 89 
131 27 -8 
117 -75 -11 
146 -119 -28 
-72 -152 -58 
-17 -74 -42 
27 4 -80 
45 -58 -7 
151 13 111 
-103 134 38 
4 146 -84 
-59 66 -88 
-139 -109 -49 
151 -103 -109 
20 156 -53 
38 -140 57 
-8 -40 -88 
29 27 -120 
-37 -85 56 
38 -142 -119 
131 -72 -87 
62 -70 145 
-72 91 43 
-106 145 -159 
4 65 -86 
-63 -116 113 
112 -49 66 
-8 138 110 
-1 150 91 
18 -147 -85 
-107 -58 89 
-16 -5 -24 
-42 146 -128 
-39 -147 43 
-42 -114 -25 
-82 -10 125 
67 110 -58 
157 156 -119 
35 -137 32 
-82 -69 -30 
-52 138 -70 
-118 138 83 
-58 62 130 
-34 -28 9 
36 113 -69 
156 2 -8 
93 45 51 
35 36 145 
131 56 -119 
93 -129 38 
29 -152 155 
56 -152 66 
-95 71 41 
-23 -152 -109 
-120 -25 51 
67 -68 26 
-154 151 98 
15 6 -139 
-106 -159 4 
18 -116 -44 
43 9 2 
94 -10 -120 
102 -81 -135 
-99 27 15 
-82 -133 131 
-104 -68 -5 
-72 117 62 
-159 -68 -128 
110 -127 -154 
21 6 -154 
-152 46 20 
-148 56 62 
12 -152 134 
-74 50 26 
-73 -61 36 
-80 101 45 
-42 153 -96 
-33 151 143 
146 -79 138 
56 -99 -54 
-11 -7 -148 
143 12 -106 
-141 146 57 
-72 144 26 
27 -8 -129 
38 -87 22 
-74 -121 57 
67 126 -109 
-11 -123 -25 
-159 -82 117 
-141 -97 145 
-141 -73 21 
117 -73 138 
-95 -44 -133 
-147 -84 55 
-77 18 146 
-1 57 -127 
-8 64 15 
20 91 -137 
31 -129 43 
19 143 -129 
-103 -120 62 
38 -8 22 
-49 -147 -47 
65 48 -124 
-137 146 -140 
57 145 149 
-63 -139 -5 
-47 111 -74 
29 113 90 
6 -97 -104 
160 -1 -49 
145 -58 126 
31 6 108 
-119 -11 -129 
-11 -52 -58 
130 -1 -86 
-96 83 -1 
101 -54 93 
-154 160 -148 
143 94 -63 
-16 83 156 
55 -52 125 
-17 126 156 
64 38 62 
6 -37 -87 
38 -74 -44 
108 90 -139 
134 -72 -58 
-24 2 -52 
-53 -47 -1 
130 -69 -47 
60 126 -1 
50 -127 -82 
101 43 -137 
-24 150 160 
-154 91 -133 
110 -116 -53 
-123 50 -135 
20 71 -137 
3 -128 18 
-158 -141 -129 
153 -1 -133 
146 -120 -132 
89 -39 20 
-140 62 100 
-37 3 149 
157 78 83 
-37 157 32 
27 -118 38 
160 -11 -39 
-34 145 -24 
56 -54 -5 
22 100 -8 
-28 -104 20 
153 -53 134 
-1 -14 98 
157 -17 -30 
-148 19 57 
-7 -75 -133 
98 92 -105 
36 134 -96 
-28 32 -34 
76 108 -133 
-17 -17 -59 
83 55 18 
6 156 93 
-42 -154 -61 
-159 -1 94 
-107 -80 130 
-47 91 101 
92 -37 110 
15 -81 -121 
146 108 -95 
126 -107 -40 
144 45 146 
43 65 3 
-109 -7 -1 
155 -120 90 
-74 -79 -58 
-1 62 91 
6 -34 36 
149 -158 78 
-24 64 -119 
-152 145 66 
-5 64 -140 
90 -1 4 
-87 71 50 
155 -39 -85 
151 -107 -123 
-53 43 -49 
131 -23 -79 
-128 -10 -37 
38 131 144 
57 134 -141 
-85 -148 149 
66 -24 26 
-59 -75 2 
110 55 27 
6 94 153 
-120 -158 29 
92 -106 27 
-139 -121 -44 
-139 -70 -133 
-37 29 64 
92 -148 -120 
-86 -59 41 
115 -17 36 
13 57 -142 
-88 -154 -84 
46 -85 115 
143 122 -136 
32 22 48 
-136 110 113 
-10 -124 -52 
-97 -140 20 
-118 -54 89 
-136 100 -105 
-25 71 -33 
36 -137 -80 
-80 64 -69 
66 -154 -8 
-133 -73 98 
-124 -103 -23 
-52 -1 -159 
-140 20 -129 
-107 20 -120 
-42 -123 60 
15 143 71 
-74 -16 -127 
27 -114 18 
4 111 -116 
-69 101 -63 
-135 66 18 
138 -158 50 
15 -25 -30 
32 -119 65 
93 146 -82 
-107 -127 126 
-10 156 149 
21 -84 117 
-8 -79 66 
-72 -11 -148 
-24 -159 31 
64 -17 51 
-73 76 149 
-59 48 156 
-72 -63 117 
-141 45 -147 
-109 -58 -80 
67 -16 -128 
-106 -107 36 
62 122 4 
-40 -44 -54 
-95 -119 27 
-85 -142 -119 
66 -58 67 
-140 -159 -109 
83 156 -68 
149 -135 -79 
-23 48 26 
-24 -28 9 
92 45 -61 
-11 -136 3 
157 -54 -107 
-119 157 38 
110 157 48 
