640 12800
-598 138 227 
-614 161 -166 
4 502 485 
-55 -478 -189 
36 -605 -561 
-622 -270 -621 
204 112 282 
306 573 565 
389 558 227 
-316 -192 -578 
292 477 -165 
-262 501 -202 
226 276 393 
303 125 227 
-40 133 -640 
-31 410 170 
-387 143 -491 
442 161 4 
-148 -203 195 
-598 134 485 
134 -291 -320 
-193 14 345 
-230 -152 350 
506 -616 610 
79 -64 -106 
306 -22 -203 
382 -29 100 
-141 535 16 
-294 260 178 
210 485 521 
57 109 132 
606 -263 -598 
554 -367 175 
-50 572 -137 
-475 -548 -280 
446 484 310 
139 -475 -359 
12 -23 600 
208 -45 -22 
-196 -636 -84 
317 -349 -196 
-619 -336 375 
502 -217 601 
-433 439 -171 
535 362 601 
-22 224 150 
292 413 -357 
506 603 354 
-157 588 -340 
248 -293 204 
198 -404 156 
361 -256 100 
25 -136 -624 
111 388 -338 
-473 98 -434 
575 32 -619 
405 -93 608 
-427 371 373 
321 51 299 
398 519 -40 
-532 382 348 
-591 -44 -171 
-438 -288 -381 
49 341 175 
-435 -212 257 
-370 -65 -84 
-94 -136 390 
324 324 -216 
-416 -189 -199 
365 558 -284 
-457 -632 -591 
539 -140 48 
295 596 418 
163 186 281 
502 -166 -594 
361 408 -569 
-417 253 134 
-349 -612 142 
-592 -128 -34 
18 351 -368 
-123 -537 -615 
-568 -256 -569 
-561 -86 -412 
-265 178 350 
224 443 184 
450 25 -77 
2 138 -544 
-113 53 -613 
242 582 221 
584 -34 215 
-202 -394 403 
87 581 -372 
-495 -440 310 
142 -387 401 
557 -270 -123 
226 116 -68 
382 -140 -422 
360 -179 342 
292 -452 389 
-537 -333 -43 
145 -251 507 
565 318 -331 
539 -17 531 
78 522 -179 
25 -52 470 
-415 -289 600 
608 -536 -278 
-290 -594 -534 
-283 -570 -386 
-560 -22 142 
87 -637 281 
-289 -272 109 
-491 98 -347 
-489 175 -555 
533 -532 -528 
463 339 -366 
56 8 500 
14 116 80 
539 204 186 
-236 -482 -154 
383 -287 -126 
408 334 -553 
-604 -265 252 
16 610 426 
360 -420 504 
361 160 343 
-488 -137 -43 
-356 -315 116 
539 227 -589 
-619 48 -272 
-366 -621 523 
-568 -278 626 
261 201 518 
177 -45 5 
-454 -538 -632 
-372 634 580 
383 -536 -172 
348 -412 -104 
-434 354 182 
-123 -206 -238 
92 402 405 
326 -301 -93 
-615 239 593 
261 -615 -560 
584 -568 25 
513 610 -203 
-115 175 492 
292 -290 -179 
-586 -552 41 
-89 -424 -638 
506 574 453 
-636 -141 318 
379 74 -118 
362 -209 -384 
-490 25 580 
-205 327 321 
-391 -285 185 
-180 -376 16 
-592 306 299 
326 25 -544 
-640 224 -59 
413 102 9 
215 258 -435 
142 -148 259 
185 -135 -33 
566 -407 -482 
-356 -262 597 
449 170 -23 
388 -61 -52 
364 49 -394 
-429 -638 -486 
375 -268 -67 
556 351 -289 
-552 -511 -553 
-544 8 -47 
524 485 -486 
362 -595 390 
630 56 -84 
-431 -172 -118 
501 325 530 
-386 -187 -44 
408 -179 549 
177 208 -640 
-70 149 261 
8 581 485 
522 344 159 
261 639 374 
-169 264 -311 
56 53 252 
-247 -73 483 
-619 -93 103 
496 -314 606 
596 -211 -174 
-384 -180 48 
-192 -181 -136 
312 362 -478 
-640 -263 295 
147 -467 -550 
-206 215 499 
611 303 204 
-544 297 -512 
282 170 517 
160 110 186 
-472 -59 639 
111 -300 -237 
-61 18 -283 
353 -298 78 
557 580 -50 
-331 -266 -585 
-614 233 524 
307 -211 -595 
-357 480 -384 
520 -333 -81 
-313 184 -467 
484 -576 603 
-368 -420 -623 
361 393 587 
444 -330 -488 
109 -478 -121 
-162 264 -89 
-85 116 -28 
-553 322 -294 
501 -607 -495 
-256 -237 -58 
463 -570 606 
630 418 210 
310 -534 257 
-323 382 620 
204 281 533 
-203 -567 531 
-65 41 292 
-123 -140 484 
-23 -13 487 
-59 443 469 
-169 -538 257 
-180 254 109 
378 178 -605 
-336 -81 -404 
228 -331 -434 
344 -315 299 
-180 -309 -1 
-622 307 -347 
24 -141 593 
360 389 -604 
-434 365 513 
409 147 557 
-526 634 600 
-280 432 260 
392 -438 303 
-250 -93 382 
400 -546 -475 
350 -44 -121 
-162 296 -452 
-359 362 -366 
455 477 219 
159 -217 -146 
596 -249 -313 
608 354 471 
-435 273 -635 
-85 -298 -84 
277 352 -604 
49 602 -52 
-564 -416 -567 
-494 364 485 
20 -28 -108 
-622 242 -489 
634 -214 -47 
-192 150 -512 
581 405 535 
401 319 110 
72 -467 92 
-532 -314 -89 
354 15 -340 
90 -431 -456 
246 91 -441 
355 -441 468 
-249 -624 506 
233 76 -67 
603 -166 401 
-34 177 -448 
184 219 -55 
-83 -415 496 
-357 -52 324 
-82 -316 -287 
125 277 -168 
239 -183 521 
-203 260 -564 
143 -424 447 
-340 -83 -394 
296 -155 443 
618 304 -44 
-536 -169 460 
596 -562 253 
353 92 139 
-619 317 111 
204 -478 590 
602 533 335 
-222 383 549 
269 -515 -526 
-320 565 -370 
219 -290 393 
277 41 631 
-13 204 -552 
390 498 354 
-508 -174 -174 
18 506 -619 
455 471 32 
242 127 -356 
213 400 442 
-29 483 -174 
242 -113 -287 
388 627 587 
198 71 -516 
269 -173 497 
-536 310 580 
122 97 -148 
-635 182 103 
159 -550 -223 
-263 -367 -434 
-347 -509 -629 
71 -550 -332 
-209 487 186 
485 471 413 
530 6 -126 
539 -619 -429 
-534 -194 484 
-113 462 -433 
-416 -332 375 
630 -22 -255 
215 -616 -289 
-330 -622 365 
-349 -27 321 
329 264 468 
-22 383 -249 
449 395 485 
-88 307 439 
201 496 177 
-424 -33 -119 
210 -376 -454 
-279 -86 -181 
-376 -280 -196 
76 409 378 
-148 352 159 
572 -330 630 
409 -40 178 
97 225 -222 
-181 610 145 
-448 134 -130 
56 232 575 
-214 360 30 
470 -592 150 
626 74 601 
524 355 125 
-472 69 -265 
-202 9 5 
-172 335 -52 
-559 464 -594 
317 48 9 
-151 7 -187 
-70 233 -422 
147 142 53 
264 124 -544 
639 -1 -27 
453 601 -467 
-196 602 232 
-284 160 344 
129 258 414 
-534 195 53 
42 -171 227 
-229 -47 -551 
-585 -236 -427 
524 -290 -52 
442 42 348 
579 143 111 
-367 -338 25 
530 -347 -203 
-65 190 133 
-298 432 -44 
390 -66 556 
246 556 78 
443 -431 369 
-267 588 232 
351 -515 539 
341 163 499 
-189 160 2 
446 57 -552 
-482 -202 -86 
-34 -562 -423 
-437 -236 -315 
322 -174 -81 
246 455 201 
144 533 186 
400 -148 79 
190 190 374 
-612 -26 312 
-625 -459 -553 
167 -489 -107 
-537 -537 -84 
-313 554 -115 
499 -217 53 
-412 -357 -445 
-511 -370 492 
471 -46 -538 
496 -559 243 
-181 -333 -266 
186 364 -108 
476 -211 -31 
-222 254 218 
-206 -323 167 
116 342 -61 
-561 -171 -553 
389 -188 597 
-47 388 -59 
144 -330 186 
-571 12 -621 
-3 -130 -106 
535 364 32 
-621 374 -314 
365 35 -320 
264 -370 248 
-164 603 -594 
159 432 310 
-625 -315 -624 
573 -34 -180 
390 -633 208 
-625 -589 -155 
-472 -104 -515 
-349 -17 557 
575 -58 224 
-494 195 159 
-629 -427 -26 
-551 401 410 
16 627 469 
601 325 496 
277 257 498 
325 -214 364 
350 -569 -229 
-315 -301 462 
-271 -595 227 
-229 -598 535 
-516 324 -67 
232 -166 -55 
-567 -370 447 
109 -28 519 
9 389 -495 
20 593 476 
-604 498 -45 
549 -180 -311 
239 305 443 
7 -411 56 
-229 580 461 
-314 246 344 
496 232 129 
-267 11 -86 
507 210 -45 
549 -625 468 
-154 18 307 
554 540 611 
219 -137 -130 
-85 610 -301 
425 -459 -441 
6 -174 -316 
-338 -137 -141 
506 -615 369 
-82 504 322 
-285 254 312 
-440 134 620 
-564 -223 -490 
242 -249 321 
-194 572 -130 
-293 80 -635 
-511 -624 577 
80 377 -157 
-472 520 365 
350 -118 542 
-515 -58 -576 
99 590 628 
-604 -216 -313 
460 -237 -22 
144 483 -115 
-445 -279 458 
-262 -465 -422 
-230 242 87 
219 506 541 
30 575 453 
-561 -544 -119 
-165 587 -180 
42 201 -88 
-84 87 -363 
618 -349 -567 
-394 375 -489 
348 -505 -93 
471 -77 379 
-495 375 -456 
-173 -311 -67 
-294 -183 -67 
-391 210 4 
30 373 303 
600 602 37 
611 554 360 
-546 -387 -164 
204 -619 74 
-21 -564 -437 
139 443 91 
277 -44 -424 
-544 -104 -359 
-454 397 -172 
558 143 -308 
-86 -46 -615 
117 549 329 
361 -176 -508 
